hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r1,N/A,N/A,9.542441043514301e-05,8.53,0.0457,0.0441,0.0185,0.0308,0.0892,0.1001,0.0445,0.0376,0.1771,0.2598,0.0243,0.0181
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r2,N/A,N/A,6.947216168741561e-05,6.73,0.0351,0.0366,0.0135,0.0267,0.0735,0.0856,0.0331,0.032,0.14,0.2365,0.0183,0.014
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r3,N/A,N/A,5.4534501141607063e-05,5.55,0.0415,0.0435,0.0162,0.0311,0.0788,0.0929,0.0405,0.0386,0.1516,0.2577,0.0228,0.0177
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r4,N/A,N/A,7.526341740740526e-05,6.86,0.0421,0.0457,0.0155,0.034,0.0762,0.0903,0.0435,0.0425,0.1633,0.2672,0.0232,0.0189
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r5,N/A,N/A,5.123489524405678e-05,4.97,0.0415,0.0393,0.0151,0.0263,0.0852,0.0938,0.0384,0.0323,0.1548,0.2216,0.023,0.0167
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2025_r6,N/A,N/A,4.9513463649790685e-05,5.16,0.0231,0.0257,0.0082,0.0181,0.0535,0.0658,0.0199,0.0226,0.0944,0.1888,0.0121,0.0093
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r1,N/A,N/A,9.761646375437955e-05,8.92,0.0442,0.0469,0.0192,0.038,0.0833,0.0978,0.0441,0.0409,0.1771,0.2853,0.0234,0.0185
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r2,N/A,N/A,6.94177399899572e-05,6.37,0.033,0.0357,0.0138,0.0278,0.0632,0.0749,0.0335,0.0318,0.1389,0.2259,0.0166,0.0136
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r3,N/A,N/A,5.671693003562431e-05,5.67,0.0643,0.0609,0.0255,0.0425,0.1231,0.1341,0.0596,0.0485,0.2206,0.3043,0.0362,0.0269
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r4,N/A,N/A,7.61608018939782e-05,6.87,0.0529,0.0533,0.0198,0.0382,0.1046,0.1189,0.0484,0.044,0.1824,0.2906,0.0299,0.0227
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r5,N/A,N/A,5.156847578932902e-05,5.35,0.0522,0.0509,0.0215,0.038,0.1012,0.1121,0.0496,0.0413,0.1941,0.2757,0.0287,0.0216
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2026_r6,N/A,N/A,4.85748093731502e-05,4.76,0.0115,0.0135,0.0055,0.0114,0.0201,0.0275,0.0138,0.0138,0.0626,0.1177,0.0048,0.0041
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r1,N/A,N/A,2.5709695021644496e-05,3.48,0.2556,0.2594,0.1456,0.2316,0.4017,0.4195,0.2221,0.1797,0.6246,0.7508,0.1747,0.152
