hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r1,BPR,BPR,0.00012618551587708255,26.33,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r2,BPR,BPR,4.381171741348914e-05,9.48,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r3,BPR,BPR,5.3237970656448114e-05,12.75,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r4,BPR,BPR,8.234649490339648e-05,17.08,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r5,BPR,BPR,2.8239685754686307e-05,6.98,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
CPU,cpu,N/A,12,False,LightGCN,LightGCN_BPR_r6,BPR,BPR,1.6071832748114822e-05,4.0,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r1,CE,CE,0.0001280827613135311,26.1,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r2,CE,CE,4.018283750469794e-05,9.48,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r3,CE,CE,4.917927548014074e-05,11.0,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r4,CE,CE,8.243288388870382e-05,17.62,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r5,CE,CE,2.2544445372614178e-05,5.82,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
CPU,cpu,N/A,12,False,LightGCN,LightGCN_CE_r6,CE,CE,2.0904666843385468e-05,5.04,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r1,MSE,MSE,0.00012157311667685818,25.19,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r2,MSE,MSE,3.504945379115957e-05,7.86,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r3,MSE,MSE,5.323469969610273e-05,11.94,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r4,MSE,MSE,8.466331244858213e-05,17.5,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r5,MSE,MSE,2.4601523948259806e-05,6.35,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
CPU,cpu,N/A,12,False,LightGCN,LightGCN_MSE_r6,MSE,MSE,1.634309839042867e-05,4.86,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r1,BPR,BPR,0.00022763875403805666,46.77,0.0922,0.0996,0.0395,0.0788,0.1696,0.1882,0.0842,0.0817,0.298,0.4401,0.0543,0.047
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r2,BPR,BPR,0.00010854756207676098,22.26,0.0511,0.0573,0.0236,0.0468,0.0951,0.1107,0.0501,0.0504,0.2025,0.3203,0.0268,0.0234
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r3,BPR,BPR,0.00013841001153691064,28.25,0.0725,0.0818,0.032,0.0646,0.1322,0.1513,0.0694,0.0718,0.2619,0.4072,0.041,0.0358
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r4,BPR,BPR,0.0001388405744846436,28.79,0.0837,0.0914,0.0426,0.0748,0.147,0.1656,0.0795,0.0768,0.2884,0.4263,0.0475,0.0423
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r5,BPR,BPR,5.633791107443639e-05,12.69,0.0288,0.0348,0.0112,0.026,0.0598,0.0748,0.028,0.0328,0.123,0.2365,0.0143,0.0126
CPU,cpu,N/A,12,False,NGCF,NGCF_BPR_r6,BPR,BPR,3.935631368967937e-05,8.62,0.0472,0.0486,0.02,0.0351,0.0942,0.1068,0.0433,0.0402,0.176,0.2725,0.0258,0.0206
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r1,CE,CE,0.00023199418358115973,47.31,0.0922,0.0996,0.0395,0.0788,0.1696,0.1882,0.0842,0.0817,0.298,0.4401,0.0543,0.047
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r2,CE,CE,0.00010676427027849366,21.84,0.0511,0.0573,0.0236,0.0468,0.0951,0.1107,0.0501,0.0504,0.2025,0.3203,0.0268,0.0234
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r3,CE,CE,0.00014129163137741887,28.58,0.0725,0.0818,0.032,0.0646,0.1322,0.1513,0.0694,0.0718,0.2619,0.4072,0.041,0.0358
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r4,CE,CE,0.00014488824890858726,30.22,0.0837,0.0914,0.0426,0.0748,0.147,0.1656,0.0795,0.0768,0.2884,0.4263,0.0475,0.0423
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r5,CE,CE,5.511314828092326e-05,12.94,0.0288,0.0348,0.0112,0.026,0.0598,0.0748,0.028,0.0328,0.123,0.2365,0.0143,0.0126
CPU,cpu,N/A,12,False,NGCF,NGCF_CE_r6,CE,CE,4.191734800474996e-05,9.13,0.0472,0.0486,0.02,0.0351,0.0942,0.1068,0.0433,0.0402,0.176,0.2725,0.0258,0.0206
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r1,MSE,MSE,0.0002590928203978968,52.75,0.0922,0.0996,0.0395,0.0788,0.1696,0.1882,0.0842,0.0817,0.298,0.4401,0.0543,0.047
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r2,MSE,MSE,0.00012506806283039496,27.07,0.0511,0.0573,0.0236,0.0468,0.0951,0.1107,0.0501,0.0504,0.2025,0.3203,0.0268,0.0234
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r3,MSE,MSE,0.0001375473559494047,28.69,0.0725,0.0818,0.032,0.0646,0.1322,0.1513,0.0694,0.0718,0.2619,0.4072,0.041,0.0358
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r4,MSE,MSE,0.00014089171360622257,28.55,0.0837,0.0914,0.0426,0.0748,0.147,0.1656,0.0795,0.0768,0.2884,0.4263,0.0475,0.0423
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r5,MSE,MSE,5.408820451361675e-05,12.04,0.0288,0.0348,0.0112,0.026,0.0598,0.0748,0.028,0.0328,0.123,0.2365,0.0143,0.0126
CPU,cpu,N/A,12,False,NGCF,NGCF_MSE_r6,MSE,MSE,3.665392675575562e-05,8.73,0.0472,0.0486,0.02,0.0351,0.0942,0.1068,0.0433,0.0402,0.176,0.2725,0.0258,0.0206
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r1,BPR,BPR,0.00015266761736444252,32.03,0.2402,0.2378,0.1291,0.2003,0.3931,0.4103,0.203,0.1622,0.5875,0.7126,0.1638,0.1381
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r2,BPR,BPR,0.00011404212826373487,23.41,0.1459,0.1487,0.0769,0.1239,0.2623,0.2807,0.1287,0.1094,0.4411,0.5758,0.0887,0.075
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r3,BPR,BPR,8.245362259131438e-05,17.13,0.2185,0.2158,0.1116,0.1735,0.3675,0.3857,0.1835,0.1494,0.5334,0.667,0.1475,0.123
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r4,BPR,BPR,0.00012066724849792787,24.98,0.2301,0.2284,0.1234,0.1925,0.3772,0.3947,0.1964,0.158,0.5779,0.7084,0.1547,0.131
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r5,BPR,BPR,7.999304015184312e-05,17.13,0.1203,0.1332,0.0584,0.1184,0.2245,0.2495,0.1063,0.1012,0.3765,0.5578,0.0712,0.0632
CPU,cpu,N/A,12,False,NeuMF,NeuMF_BPR_r6,BPR,BPR,8.052499791455407e-05,16.72,0.1306,0.1314,0.0653,0.1021,0.2286,0.2449,0.1183,0.0998,0.3987,0.5154,0.0794,0.0664
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r1,CE,CE,0.0001463469699736853,30.22,0.2402,0.2378,0.1291,0.2003,0.3931,0.4103,0.203,0.1622,0.5875,0.7126,0.1638,0.1381
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r2,CE,CE,0.00011120450359008402,22.77,0.1459,0.1487,0.0769,0.1239,0.2623,0.2807,0.1287,0.1094,0.4411,0.5758,0.0887,0.075
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r3,CE,CE,8.394377725305873e-05,17.43,0.2185,0.2158,0.1116,0.1735,0.3675,0.3857,0.1835,0.1494,0.5334,0.667,0.1475,0.123
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r4,CE,CE,0.00012293951256783217,25.55,0.2301,0.2284,0.1234,0.1925,0.3772,0.3947,0.1964,0.158,0.5779,0.7084,0.1547,0.131
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r5,CE,CE,8.00990878625657e-05,16.98,0.1203,0.1332,0.0584,0.1184,0.2245,0.2495,0.1063,0.1012,0.3765,0.5578,0.0712,0.0632
CPU,cpu,N/A,12,False,NeuMF,NeuMF_CE_r6,CE,CE,7.669439118878476e-05,15.87,0.1306,0.1314,0.0653,0.1021,0.2286,0.2449,0.1183,0.0998,0.3987,0.5154,0.0794,0.0664
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r1,MSE,MSE,0.00014430656996255426,30.45,0.2402,0.2378,0.1291,0.2003,0.3931,0.4103,0.203,0.1622,0.5875,0.7126,0.1638,0.1381
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r2,MSE,MSE,0.00011208402013664325,22.86,0.1459,0.1487,0.0769,0.1239,0.2623,0.2807,0.1287,0.1094,0.4411,0.5758,0.0887,0.075
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r3,MSE,MSE,8.370168424852912e-05,17.78,0.2185,0.2158,0.1116,0.1735,0.3675,0.3857,0.1835,0.1494,0.5334,0.667,0.1475,0.123
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r4,MSE,MSE,0.00011929308753964683,24.67,0.2301,0.2284,0.1234,0.1925,0.3772,0.3947,0.1964,0.158,0.5779,0.7084,0.1547,0.131
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r5,MSE,MSE,8.087253031970468e-05,17.35,0.1203,0.1332,0.0584,0.1184,0.2245,0.2495,0.1063,0.1012,0.3765,0.5578,0.0712,0.0632
CPU,cpu,N/A,12,False,NeuMF,NeuMF_MSE_r6,MSE,MSE,7.750408876729233e-05,16.17,0.1306,0.1314,0.0653,0.1021,0.2286,0.2449,0.1183,0.0998,0.3987,0.5154,0.0794,0.0664
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r1,N/A,N/A,3.4661385980410347e-06,1.48,0.0546,0.0577,0.0227,0.0414,0.109,0.1234,0.0488,0.0469,0.2004,0.3054,0.0302,0.0248
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r2,N/A,N/A,4.768082918732539e-06,2.29,0.0973,0.1055,0.06,0.099,0.1728,0.1893,0.0891,0.0778,0.3404,0.4592,0.0547,0.0501
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r3,N/A,N/A,5.1741430604465076e-06,2.41,0.1189,0.1262,0.0732,0.1147,0.2088,0.2274,0.1067,0.092,0.4019,0.5408,0.0687,0.0615
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r4,N/A,N/A,7.71458805440846e-06,2.96,0.1213,0.1277,0.0701,0.1118,0.2241,0.2444,0.1071,0.094,0.3966,0.5419,0.07,0.0612
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r5,N/A,N/A,7.042405123953089e-06,2.36,0.1273,0.131,0.0727,0.1169,0.2347,0.2536,0.1124,0.0941,0.4072,0.5472,0.0741,0.0631
CPU,cpu,N/A,12,False,Pop,Pop_s2024_r6,N/A,N/A,1.0385400186431967e-05,3.46,0.129,0.1322,0.0737,0.116,0.2361,0.2557,0.113,0.0946,0.404,0.544,0.0761,0.0644
CPU,cpu,N/A,12,False,Pop,Pop_s2025_r1,N/A,N/A,3.6805893596415483e-06,2.12,0.0452,0.049,0.0197,0.0397,0.0869,0.1014,0.0467,0.0445,0.1962,0.3118,0.0225,0.0184
CPU,cpu,N/A,12,False,Pop,Pop_s2025_r2,N/A,N/A,3.845568712016216e-06,1.56,0.1124,0.1152,0.0604,0.1046,0.1953,0.2146,0.1063,0.088,0.3754,0.5228,0.0653,0.0536
CPU,cpu,N/A,12,False,Pop,Pop_s2025_r3,N/A,N/A,6.952943136443271e-06,3.34,0.1192,0.1248,0.0688,0.1147,0.2123,0.2344,0.1092,0.0935,0.3966,0.5589,0.0686,0.0577
CPU,cpu,N/A,12,False,Pop,Pop_s2025_r4,N/A,N/A,5.281405225197059e-06,1.9,0.1282,0.1309,0.0729,0.1143,0.228,0.2478,0.1145,0.0961,0.4125,0.5578,0.0756,0.0633
CPU,cpu,N/A,12,False,Pop,Pop_s2025_r5,N/A,N/A,7.91897562829199e-06,2.4,0.1268,0.1311,0.0739,0.1151,0.2258,0.2466,0.1126,0.0966,0.4072,0.5599,0.0748,0.0634
