hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2024_r5,N/A,N/A,4.325728403871095e-05,5.01,0.0474,0.0503,0.0176,0.0369,0.0946,0.1074,0.0435,0.0427,0.1654,0.2641,0.027,0.0215
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2024_r6,N/A,N/A,4.942045905517439e-05,5.35,0.0169,0.0193,0.0072,0.0147,0.037,0.0458,0.0161,0.0172,0.0785,0.1463,0.0082,0.0067
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r1,N/A,N/A,8.21874718379198e-05,8.54,0.0457,0.0441,0.0185,0.0308,0.0892,0.1001,0.0445,0.0376,0.1771,0.2598,0.0243,0.0181
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r2,N/A,N/A,6.227236083856041e-05,6.87,0.0351,0.0366,0.0135,0.0267,0.0735,0.0856,0.0331,0.032,0.14,0.2365,0.0183,0.014
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r3,N/A,N/A,4.71034263563586e-05,5.41,0.0415,0.0435,0.0162,0.0311,0.0788,0.0929,0.0405,0.0386,0.1516,0.2577,0.0228,0.0177
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r4,N/A,N/A,6.95988068351987e-05,7.4,0.0421,0.0457,0.0155,0.034,0.0762,0.0903,0.0435,0.0425,0.1633,0.2672,0.0232,0.0189
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r5,N/A,N/A,4.354260266643153e-05,4.76,0.0415,0.0393,0.0151,0.0263,0.0852,0.0938,0.0384,0.0323,0.1548,0.2216,0.023,0.0167
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2025_r6,N/A,N/A,4.579669318777946e-05,5.77,0.0231,0.0257,0.0082,0.0181,0.0535,0.0658,0.0199,0.0226,0.0944,0.1888,0.0121,0.0093
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r1,N/A,N/A,8.778921231093456e-05,8.98,0.0442,0.0469,0.0192,0.038,0.0833,0.0978,0.0441,0.0409,0.1771,0.2853,0.0234,0.0185
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r2,N/A,N/A,5.878359621164826e-05,6.34,0.033,0.0357,0.0138,0.0278,0.0632,0.0749,0.0335,0.0318,0.1389,0.2259,0.0166,0.0136
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r3,N/A,N/A,5.298620452425403e-05,5.97,0.0643,0.0609,0.0255,0.0425,0.1231,0.1341,0.0596,0.0485,0.2206,0.3043,0.0362,0.0269
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r4,N/A,N/A,6.397016421581419e-05,6.73,0.0529,0.0533,0.0198,0.0382,0.1046,0.1189,0.0484,0.044,0.1824,0.2906,0.0299,0.0227
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r5,N/A,N/A,4.910710777421224e-05,5.57,0.0522,0.0509,0.0215,0.038,0.1012,0.1121,0.0496,0.0413,0.1941,0.2757,0.0287,0.0216
T4_GPU,cuda,Tesla T4,12,False,FM,FM_s2026_r6,N/A,N/A,4.1124998235584547e-05,4.81,0.0115,0.0135,0.0055,0.0114,0.0201,0.0275,0.0138,0.0138,0.0626,0.1177,0.0048,0.0041
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r1,N/A,N/A,2.2503908258397905e-05,3.47,0.2556,0.2594,0.1456,0.2316,0.4017,0.4195,0.2221,0.1797,0.6246,0.7508,0.1747,0.152
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r2,N/A,N/A,2.6956276516608782e-05,3.67,0.276,0.272,0.1489,0.2332,0.4365,0.4553,0.2363,0.1854,0.632,0.7699,0.193,0.161
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r3,N/A,N/A,3.22240110792542e-05,5.33,0.2829,0.2787,0.1564,0.2395,0.4559,0.471,0.2382,0.186,0.6564,0.7699,0.1966,0.1663
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r4,N/A,N/A,2.211399932333563e-05,3.09,0.2635,0.2675,0.1466,0.2351,0.4171,0.4354,0.2263,0.185,0.6235,0.7603,0.1822,0.1576
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r5,N/A,N/A,2.8126392401461664e-05,3.8,0.2755,0.2755,0.1512,0.2399,0.4354,0.4529,0.2373,0.19,0.6426,0.772,0.1904,0.1631
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2024_r6,N/A,N/A,3.4516737206663736e-05,5.44,0.284,0.2802,0.1588,0.2372,0.4619,0.4759,0.2339,0.1849,0.6649,0.7688,0.1974,0.1683
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r1,N/A,N/A,2.177602780342351e-05,3.08,0.261,0.2618,0.1458,0.2269,0.428,0.4454,0.2214,0.1786,0.6373,0.7625,0.1755,0.1512
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r2,N/A,N/A,2.6859401145856314e-05,3.9,0.2744,0.2733,0.1447,0.233,0.4397,0.4579,0.2324,0.1861,0.6352,0.7699,0.1913,0.1625
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r3,N/A,N/A,3.6573306066606145e-05,4.94,0.2763,0.2755,0.1484,0.2369,0.4412,0.4597,0.2331,0.1849,0.6267,0.7625,0.1935,0.1651
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r4,N/A,N/A,2.1767900931646723e-05,3.43,0.2655,0.2693,0.1408,0.2342,0.432,0.4544,0.2246,0.1857,0.6204,0.7815,0.1836,0.1569
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r5,N/A,N/A,2.8596389289838126e-05,4.11,0.2749,0.2737,0.1517,0.2358,0.4376,0.4552,0.2346,0.1866,0.6458,0.7773,0.19,0.162
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2025_r6,N/A,N/A,3.655279122901729e-05,5.06,0.2868,0.2816,0.1643,0.2409,0.4488,0.4655,0.2418,0.1869,0.6532,0.7709,0.2011,0.1707
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r1,N/A,N/A,2.2152994414340647e-05,3.06,0.2653,0.2675,0.1432,0.231,0.4258,0.4439,0.2267,0.1863,0.6352,0.7688,0.1807,0.1553
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r2,N/A,N/A,2.6668169812011156e-05,3.92,0.2793,0.2748,0.1467,0.2334,0.4429,0.4603,0.2384,0.1876,0.6437,0.772,0.1941,0.1626
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r3,N/A,N/A,3.600747349814834e-05,5.2,0.2833,0.2807,0.153,0.2388,0.4521,0.4699,0.2373,0.1891,0.6458,0.7826,0.1983,0.1671
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r4,N/A,N/A,2.2226793777939304e-05,3.11,0.2756,0.2735,0.1492,0.2339,0.4372,0.4533,0.2346,0.1881,0.6501,0.772,0.1893,0.161
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r5,N/A,N/A,2.9201725172926818e-05,4.17,0.282,0.2787,0.146,0.2337,0.4493,0.4673,0.238,0.1897,0.6405,0.7709,0.1984,0.1662
T4_GPU,cuda,Tesla T4,12,False,ItemKNN,ItemKNN_s2026_r6,N/A,N/A,3.9807773797617846e-05,5.16,0.2896,0.2815,0.1568,0.2351,0.461,0.476,0.2392,0.1852,0.6522,0.7678,0.2039,0.1695
T4_GPU,cuda,Tesla T4,12,False,LightGCN,LightGCN_BPR_r1,BPR,BPR,8.052661503844144e-05,7.76,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
T4_GPU,cuda,Tesla T4,12,False,LightGCN,LightGCN_BPR_r2,BPR,BPR,5.0800629259495464e-05,5.48,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
T4_GPU,cuda,Tesla T4,12,False,LightGCN,LightGCN_BPR_r3,BPR,BPR,5.4204855811615e-05,6.05,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
T4_GPU,cuda,Tesla T4,12,False,LightGCN,LightGCN_BPR_r4,BPR,BPR,6.262902353548755e-05,6.21,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
